peptide_id;protein_id
agilent_103054;agilent_38388
agilent_103055;agilent_69154
agilent_103056;agilent_58088
agilent_103057;agilent_17005
agilent_103058;agilent_32243
agilent_103060;agilent_103060
agilent_103067;agilent_28626
agilent_103069;agilent_60068
agilent_103074;agilent_54886
agilent_103076;agilent_22515
agilent_103088;agilent_90866
agilent_103090;agilent_22054
agilent_103104;agilent_22167
agilent_103106;agilent_36630
agilent_103107;agilent_21340
agilent_10311;agilent_136
agilent_103115;agilent_17544
agilent_103121;agilent_31467
agilent_103123;agilent_31336
agilent_103124;agilent_17973
agilent_103128;agilent_14307
agilent_103129;agilent_20994
agilent_10313;agilent_1864
agilent_103136;agilent_51691
agilent_103137;agilent_55127
agilent_103140;agilent_33168
agilent_103146;agilent_37693
agilent_103158;agilent_16452
agilent_10316;agilent_571
agilent_103160;agilent_64385
agilent_103167;agilent_27713
agilent_103170;agilent_93066
agilent_103171;agilent_52221
agilent_103172;agilent_20041
agilent_103174;agilent_21463
agilent_103176;agilent_62711
agilent_103178;agilent_31097
agilent_103184;agilent_12521
agilent_103185;agilent_16684
agilent_103189;agilent_17887
agilent_10319;agilent_2239
agilent_103191;agilent_21006
agilent_103194;agilent_30994
agilent_103195;agilent_103195
agilent_103197;agilent_29796
agilent_103202;agilent_39207
agilent_103203;agilent_27099
agilent_103204;agilent_18501
agilent_103205;agilent_30423
agilent_103215;agilent_24939
agilent_103216;agilent_103216
agilent_103224;agilent_40694
agilent_103226;agilent_48782
agilent_103227;agilent_21086
agilent_103232;agilent_19855
agilent_103236;agilent_18712
agilent_103237;agilent_31558
agilent_10324;agilent_304
agilent_103242;agilent_19980
agilent_103243;agilent_21534
agilent_103244;agilent_56145
agilent_103246;agilent_29495
agilent_103254;agilent_103254
agilent_103262;agilent_12205
agilent_103265;agilent_19529
agilent_10327;agilent_77
agilent_103282;agilent_34170
agilent_103286;agilent_15369
agilent_103292;agilent_36243
agilent_103293;agilent_15014
agilent_103297;agilent_23989
agilent_10330;agilent_742
agilent_103301;agilent_30575
agilent_103306;agilent_45766
agilent_103307;agilent_18694
agilent_103310;agilent_15983
agilent_103311;agilent_18258
agilent_103312;agilent_26956
agilent_103316;agilent_26106
agilent_103319;agilent_13869
agilent_103320;agilent_88584
agilent_103324;agilent_21669
agilent_103329;agilent_25542
agilent_10334;agilent_379
agilent_103347;agilent_82692
agilent_103349;agilent_14396
agilent_10335;agilent_2374
agilent_103374;agilent_18637
agilent_103379;agilent_48813
agilent_10338;agilent_249
agilent_103383;agilent_16330
agilent_103384;agilent_34205
agilent_103397;agilent_60179
agilent_103399;agilent_103399
agilent_103400;agilent_40923
agilent_103401;agilent_12709
agilent_103402;agilent_16330
agilent_103403;agilent_12622
agilent_103404;agilent_13300
agilent_103407;agilent_35693
agilent_103409;agilent_61299
agilent_10341;agilent_160
agilent_103410;agilent_16075
agilent_103411;agilent_84640
agilent_103413;agilent_15969
agilent_103414;agilent_31873
agilent_103415;agilent_29522
agilent_103418;agilent_34389
agilent_103419;agilent_97165
agilent_103422;agilent_102257
agilent_103423;agilent_45739
agilent_103425;agilent_14622
agilent_103428;agilent_24161
agilent_10343;agilent_112
agilent_103430;agilent_13816
agilent_103432;agilent_103432
agilent_103441;agilent_55451
agilent_103449;agilent_59295
agilent_103455;agilent_103455
agilent_103458;agilent_14672
agilent_103460;agilent_31998
agilent_103464;agilent_40914
agilent_103465;agilent_32858
agilent_103466;agilent_31648
agilent_103471;agilent_40694
agilent_103472;agilent_57049
agilent_103498;agilent_57130
agilent_103499;agilent_14810
agilent_103503;agilent_38793
agilent_103505;agilent_48744
agilent_103506;agilent_27929
agilent_103508;agilent_51874
agilent_10351;agilent_175
agilent_103510;agilent_47732
agilent_103516;agilent_42562
agilent_103518;agilent_16138
agilent_103524;agilent_22537
agilent_103526;agilent_55452
agilent_103528;agilent_48184
agilent_103529;agilent_46879
agilent_103530;agilent_24800
agilent_103531;agilent_14429
agilent_103533;agilent_20914
agilent_103537;agilent_103537
agilent_103539;agilent_48067
agilent_103542;agilent_40923
agilent_103543;agilent_29446
agilent_103549;agilent_27033
agilent_10355;agilent_395
agilent_103550;agilent_24913
agilent_103551;agilent_21340
agilent_103556;agilent_103556
agilent_103557;agilent_32454
agilent_103558;agilent_52145
agilent_103567;agilent_12153
agilent_103568;agilent_69661
agilent_103577;agilent_27052
agilent_103595;agilent_28640
agilent_103597;agilent_18965
agilent_103598;agilent_50213
agilent_103599;agilent_17620
agilent_103600;agilent_28261
agilent_103602;agilent_15714
agilent_103604;agilent_51691
agilent_103605;agilent_46796
agilent_103606;agilent_33680
agilent_103609;agilent_47868
agilent_103611;agilent_14129
agilent_103615;agilent_103615
agilent_103618;agilent_14674
agilent_103622;agilent_80016
agilent_103623;agilent_42904
